created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2019-01-14 15:28:06,2019-01-15 15:40:49,10,0,10,4,"https://gerrit.wikimedia.org/r/#/q/043a9087,n,z",87163.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-12 19:38:11,2019-01-14 22:12:23,57,1,58,9,"https://gerrit.wikimedia.org/r/#/q/2ff1827b,n,z",182052.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-14 20:10:34,2019-01-14 20:54:46,1,0,1,2,"https://gerrit.wikimedia.org/r/#/q/f2f288fd,n,z",2652.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-14 19:53:53,2019-01-14 20:54:42,6,6,12,2,"https://gerrit.wikimedia.org/r/#/q/d636bf80,n,z",3649.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-14 06:05:44,2019-01-14 17:36:47,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/12f103f3,n,z",41463.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-14 16:07:30,2019-01-14 16:46:37,227,0,227,1,"https://gerrit.wikimedia.org/r/#/q/283dab18,n,z",2347.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-09 15:53:07,2019-01-12 22:14:09,4,8,12,1,"https://gerrit.wikimedia.org/r/#/q/d62f4688,n,z",282062.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2018-11-16 02:27:05,2019-01-12 19:01:45,74,0,74,2,"https://gerrit.wikimedia.org/r/#/q/608879ed,n,z",4984480.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-10 22:04:38,2019-01-12 16:25:01,694,722,1416,3,"https://gerrit.wikimedia.org/r/#/q/75f5c2a6,n,z",152423.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
2019-01-11 18:29:23,2019-01-11 18:54:20,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/ed96e6f1,n,z",1497.0,1.33.0-wmf.13,275,0,Dan Duvall,0,0,0,0,175445
