created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2019-07-30 13:45:59,2019-07-30 14:15:57,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/ce965f98,n,z",1798.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-27 18:31:25,2019-07-30 14:13:08,3,3,6,3,"https://gerrit.wikimedia.org/r/#/q/080b0f91,n,z",243703.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-06-14 10:12:07,2019-07-30 15:23:06,238,73,311,9,"https://gerrit.wikimedia.org/r/#/q/b9886278,n,z",3993059.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-29 20:31:14,2019-07-29 21:21:39,30,7,37,1,"https://gerrit.wikimedia.org/r/#/q/f45359a0,n,z",3025.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-29 20:08:34,2019-07-29 21:59:09,14,5,19,1,"https://gerrit.wikimedia.org/r/#/q/5990aa7f,n,z",6635.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-29 18:25:06,2019-07-29 21:41:27,11,12,23,1,"https://gerrit.wikimedia.org/r/#/q/a5c984cc,n,z",11781.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-29 14:52:47,2019-07-29 19:11:55,8,4,12,2,"https://gerrit.wikimedia.org/r/#/q/1597eeda,n,z",15548.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-23 16:03:51,2019-07-29 04:11:09,19,0,19,2,"https://gerrit.wikimedia.org/r/#/q/3622787e,n,z",475638.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-28 16:38:34,2019-07-29 19:42:22,5,2,7,1,"https://gerrit.wikimedia.org/r/#/q/f2b5cbb0,n,z",97428.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-27 09:08:11,2019-07-29 19:34:54,12,10,22,2,"https://gerrit.wikimedia.org/r/#/q/92412c16,n,z",210403.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-19 19:48:37,2019-07-27 14:51:08,63,12,75,8,"https://gerrit.wikimedia.org/r/#/q/47aa48f0,n,z",673351.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-19 18:15:30,2019-07-29 13:11:57,0,2,2,11,"https://gerrit.wikimedia.org/r/#/q/416c2f67,n,z",845787.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-26 21:41:00,2019-07-26 23:03:53,4,3,7,1,"https://gerrit.wikimedia.org/r/#/q/8d02d1d2,n,z",4973.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-03-30 20:15:02,2019-07-26 19:59:09,21,6,27,10,"https://gerrit.wikimedia.org/r/#/q/2086b8a4,n,z",10194247.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-26 18:18:54,2019-07-26 22:52:23,2,2,4,3,"https://gerrit.wikimedia.org/r/#/q/2ba42f23,n,z",16409.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-20 22:01:35,2019-07-26 17:12:29,5,3,8,2,"https://gerrit.wikimedia.org/r/#/q/b5630dc0,n,z",501054.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-26 15:05:33,2019-07-26 16:09:39,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/9efb4296,n,z",3846.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-06-27 08:21:38,2019-07-26 15:16:37,11,107,118,2,"https://gerrit.wikimedia.org/r/#/q/4c7e4575,n,z",2530499.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-11 09:32:39,2019-07-26 14:53:23,270,328,598,5,"https://gerrit.wikimedia.org/r/#/q/023c73f6,n,z",1315244.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-06-27 07:14:54,2019-07-26 07:01:45,169,69,238,6,"https://gerrit.wikimedia.org/r/#/q/5099ee9f,n,z",2504811.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-26 06:41:27,2019-07-26 14:55:33,3,2,5,1,"https://gerrit.wikimedia.org/r/#/q/ae116da8,n,z",29646.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-26 05:11:35,2019-07-26 15:27:09,35,10,45,3,"https://gerrit.wikimedia.org/r/#/q/51e837f6,n,z",36934.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-26 01:45:26,2019-07-26 15:11:14,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/e4bc5822,n,z",48348.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-25 23:53:47,2019-07-26 06:34:14,10,4,14,2,"https://gerrit.wikimedia.org/r/#/q/c33b351a,n,z",24027.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-25 22:48:33,2019-07-25 23:06:31,0,1,1,1,"https://gerrit.wikimedia.org/r/#/q/1dd7af57,n,z",1078.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-25 22:40:29,2019-07-25 23:03:55,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/456f051c,n,z",1406.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
2019-07-25 22:24:51,2019-07-25 23:53:40,23,18,41,1,"https://gerrit.wikimedia.org/r/#/q/e9cc4562,n,z",5329.0,1.34.0-wmf.16,259,3,Brennen Bearnes,143892,1,1,0,185922
