created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2018-08-28 05:47:14,2018-08-28 09:39:15,6,9,15,1,"https://gerrit.wikimedia.org/r/#/q/3624259e,n,z",13921.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-28 05:47:14,2018-08-28 09:47:04,19,3,22,2,"https://gerrit.wikimedia.org/r/#/q/c804a0b5,n,z",14390.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-06-08 20:54:37,2018-08-28 06:03:07,32,17,49,7,"https://gerrit.wikimedia.org/r/#/q/08dba3de,n,z",6944910.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-26 04:18:06,2018-08-28 04:51:27,48,54,102,3,"https://gerrit.wikimedia.org/r/#/q/19f4db30,n,z",174801.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-28 04:02:11,2018-08-28 04:29:39,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/5a9d2231,n,z",1648.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-25 10:24:08,2018-08-28 05:47:28,9,12,21,8,"https://gerrit.wikimedia.org/r/#/q/e5912535,n,z",242600.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-19 10:18:00,2018-08-27 22:54:28,9,12,21,7,"https://gerrit.wikimedia.org/r/#/q/e4676f42,n,z",736588.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-19 10:18:00,2018-08-27 22:53:39,39,7,46,4,"https://gerrit.wikimedia.org/r/#/q/8a3bdfc6,n,z",736539.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-23 03:01:52,2018-08-27 21:44:23,50,34,84,4,"https://gerrit.wikimedia.org/r/#/q/d269e1d9,n,z",412951.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-06-08 21:26:31,2018-08-27 21:17:04,74,33,107,6,"https://gerrit.wikimedia.org/r/#/q/6504e230,n,z",6911433.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-27 19:09:27,2018-08-27 20:31:40,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/86e68468,n,z",4933.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
2018-08-27 19:25:56,2018-08-27 21:33:58,12,3,15,1,"https://gerrit.wikimedia.org/r/#/q/8ee45c99,n,z",7682.0,1.32.0-wmf.19,331,0,Dan Duvall,0,0,0,0,755686
