created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2019-04-09 16:57:48,2019-04-09 17:31:06,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/6ed0de04,n,z",1998.0,1.33.0-wmf.25,396,0
2019-04-09 15:22:05,2019-04-09 16:17:49,17,0,17,1,"https://gerrit.wikimedia.org/r/#/q/1a1f0157,n,z",3344.0,1.33.0-wmf.25,396,0
2019-04-09 07:19:44,2019-04-09 18:17:30,8,5,13,1,"https://gerrit.wikimedia.org/r/#/q/cea04766,n,z",39466.0,1.33.0-wmf.25,396,0
2019-04-08 09:14:41,2019-04-09 10:46:05,5,0,5,9,"https://gerrit.wikimedia.org/r/#/q/684e544f,n,z",91884.0,1.33.0-wmf.25,396,0
2018-07-30 15:02:38,2019-04-09 10:15:04,9,1,10,10,"https://gerrit.wikimedia.org/r/#/q/07628545,n,z",21841946.0,1.33.0-wmf.25,396,0
2019-04-08 00:56:40,2019-04-09 09:03:02,12,23,35,2,"https://gerrit.wikimedia.org/r/#/q/78efe696,n,z",115582.0,1.33.0-wmf.25,396,0
2019-04-08 06:56:50,2019-04-08 22:30:48,31,25,56,2,"https://gerrit.wikimedia.org/r/#/q/26fdd858,n,z",56038.0,1.33.0-wmf.25,396,0
2019-04-08 06:41:23,2019-04-08 22:24:53,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/0257eecb,n,z",56610.0,1.33.0-wmf.25,396,0
2019-04-08 20:38:09,2019-04-09 00:48:16,0,6,6,3,"https://gerrit.wikimedia.org/r/#/q/50c48840,n,z",15007.0,1.33.0-wmf.25,396,0
2018-10-05 21:31:29,2019-04-08 20:50:47,14,3,17,10,"https://gerrit.wikimedia.org/r/#/q/747e2945,n,z",15981558.0,1.33.0-wmf.25,396,0
2019-04-08 06:47:02,2019-04-09 14:00:38,6,0,6,3,"https://gerrit.wikimedia.org/r/#/q/ff120752,n,z",112416.0,1.33.0-wmf.25,396,0
2019-04-08 16:59:31,2019-04-08 19:36:51,4,2,6,4,"https://gerrit.wikimedia.org/r/#/q/f8ffc44c,n,z",9440.0,1.33.0-wmf.25,396,0
2019-04-08 17:52:30,2019-04-09 15:17:45,5,0,5,2,"https://gerrit.wikimedia.org/r/#/q/f552b10f,n,z",77115.0,1.33.0-wmf.25,396,0
2019-04-08 17:35:17,2019-04-08 20:10:42,13,1,14,5,"https://gerrit.wikimedia.org/r/#/q/55ff728c,n,z",9325.0,1.33.0-wmf.25,396,0
2019-04-08 15:23:00,2019-04-09 06:11:52,1,9,10,1,"https://gerrit.wikimedia.org/r/#/q/209683ef,n,z",53332.0,1.33.0-wmf.25,396,0
2019-04-08 05:31:00,2019-04-08 18:17:39,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/2fce9010,n,z",45999.0,1.33.0-wmf.25,396,0
2019-04-08 03:46:30,2019-04-08 04:51:21,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/59bac70c,n,z",3891.0,1.33.0-wmf.25,396,0
2019-04-08 03:44:55,2019-04-08 15:21:28,7,2,9,1,"https://gerrit.wikimedia.org/r/#/q/cad1b31a,n,z",41793.0,1.33.0-wmf.25,396,0
2019-04-08 00:56:40,2019-04-08 03:54:10,7,9,16,1,"https://gerrit.wikimedia.org/r/#/q/2096cbdb,n,z",10650.0,1.33.0-wmf.25,396,0
2019-04-07 11:37:31,2019-04-07 22:42:26,73,45,118,6,"https://gerrit.wikimedia.org/r/#/q/84292b77,n,z",39895.0,1.33.0-wmf.25,396,0
2019-02-17 11:12:59,2019-04-07 17:20:55,3,1,4,3,"https://gerrit.wikimedia.org/r/#/q/1aba1d86,n,z",4255676.0,1.33.0-wmf.25,396,0
2019-04-07 10:35:19,2019-04-07 16:52:25,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/1f555b42,n,z",22626.0,1.33.0-wmf.25,396,0
2019-04-07 11:55:22,2019-04-07 16:52:19,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/640cc31e,n,z",17817.0,1.33.0-wmf.25,396,0
2019-04-07 07:44:17,2019-04-07 16:44:03,16,6,22,1,"https://gerrit.wikimedia.org/r/#/q/02b18ba4,n,z",32386.0,1.33.0-wmf.25,396,0
2018-08-08 16:07:57,2019-04-09 10:14:59,23,6,29,9,"https://gerrit.wikimedia.org/r/#/q/21f7ab7e,n,z",21060422.0,1.33.0-wmf.25,396,0
2019-04-07 00:31:56,2019-04-07 09:13:34,7,7,14,1,"https://gerrit.wikimedia.org/r/#/q/deaf6b0e,n,z",31298.0,1.33.0-wmf.25,396,0
2019-03-27 11:36:47,2019-04-07 01:08:04,3,3,6,12,"https://gerrit.wikimedia.org/r/#/q/bca4196e,n,z",912677.0,1.33.0-wmf.25,396,0
2019-04-07 00:29:07,2019-04-07 02:32:39,2,0,2,2,"https://gerrit.wikimedia.org/r/#/q/696367b8,n,z",7412.0,1.33.0-wmf.25,396,0
2019-04-06 20:42:04,2019-04-08 03:54:04,5,10,15,4,"https://gerrit.wikimedia.org/r/#/q/47422fab,n,z",112320.0,1.33.0-wmf.25,396,0
2019-04-06 20:35:23,2019-04-06 23:54:02,963,962,1925,3,"https://gerrit.wikimedia.org/r/#/q/b22a7962,n,z",11919.0,1.33.0-wmf.25,396,0
2019-04-06 23:04:23,2019-04-07 01:03:25,6,6,12,1,"https://gerrit.wikimedia.org/r/#/q/9e1e4491,n,z",7142.0,1.33.0-wmf.25,396,0
2019-04-06 23:02:14,2019-04-07 01:02:12,5,0,5,2,"https://gerrit.wikimedia.org/r/#/q/d9891f87,n,z",7198.0,1.33.0-wmf.25,396,0
2019-04-05 00:27:57,2019-04-06 20:15:31,1,1,2,3,"https://gerrit.wikimedia.org/r/#/q/3a027196,n,z",157654.0,1.33.0-wmf.25,396,0
2019-03-29 18:41:12,2019-04-06 20:02:20,2,2,4,7,"https://gerrit.wikimedia.org/r/#/q/12755711,n,z",696068.0,1.33.0-wmf.25,396,0
2019-04-06 12:48:56,2019-04-06 15:12:04,22,16,38,8,"https://gerrit.wikimedia.org/r/#/q/57bfd3d6,n,z",8588.0,1.33.0-wmf.25,396,0
2019-04-06 12:14:07,2019-04-06 15:11:59,29,11,40,1,"https://gerrit.wikimedia.org/r/#/q/26faca6a,n,z",10672.0,1.33.0-wmf.25,396,0
2019-04-06 09:26:26,2019-04-06 18:53:54,2,2,4,5,"https://gerrit.wikimedia.org/r/#/q/804b7f1f,n,z",34048.0,1.33.0-wmf.25,396,0
2019-04-06 07:08:05,2019-04-07 09:13:15,7,3,10,2,"https://gerrit.wikimedia.org/r/#/q/6b80d71f,n,z",93910.0,1.33.0-wmf.25,396,0
2019-04-06 06:40:22,2019-04-07 09:13:09,2,4,6,2,"https://gerrit.wikimedia.org/r/#/q/e77937bb,n,z",95567.0,1.33.0-wmf.25,396,0
2019-04-06 06:40:22,2019-04-07 09:13:03,2,5,7,2,"https://gerrit.wikimedia.org/r/#/q/5f8d7633,n,z",95561.0,1.33.0-wmf.25,396,0
2019-04-06 06:20:31,2019-04-06 09:26:35,7,11,18,1,"https://gerrit.wikimedia.org/r/#/q/8c98f517,n,z",11164.0,1.33.0-wmf.25,396,0
2019-04-06 06:10:27,2019-04-06 09:09:46,1,3,4,1,"https://gerrit.wikimedia.org/r/#/q/7592e106,n,z",10759.0,1.33.0-wmf.25,396,0
2019-04-06 06:10:27,2019-04-06 09:09:41,11,11,22,2,"https://gerrit.wikimedia.org/r/#/q/a9e99a33,n,z",10754.0,1.33.0-wmf.25,396,0
2019-04-06 00:46:43,2019-04-06 20:03:36,1,0,1,1,"https://gerrit.wikimedia.org/r/#/q/22a45773,n,z",69413.0,1.33.0-wmf.25,396,0
2019-04-05 23:34:56,2019-04-05 23:58:12,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/a2bef0f3,n,z",1396.0,1.33.0-wmf.25,396,0
2019-03-22 01:44:34,2019-04-05 23:44:37,26,24,50,5,"https://gerrit.wikimedia.org/r/#/q/7bd9073c,n,z",1288803.0,1.33.0-wmf.25,396,0
2019-03-24 01:04:19,2019-04-05 23:46:14,2,3,5,6,"https://gerrit.wikimedia.org/r/#/q/790ac80b,n,z",1118515.0,1.33.0-wmf.25,396,0
2019-03-22 06:11:27,2019-04-05 23:44:43,33,32,65,10,"https://gerrit.wikimedia.org/r/#/q/4ef179e3,n,z",1272796.0,1.33.0-wmf.25,396,0
2019-04-05 22:33:06,2019-04-05 23:18:01,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/f5af7247,n,z",2695.0,1.33.0-wmf.25,396,0
2019-03-22 05:40:02,2019-04-05 22:42:35,6,12,18,7,"https://gerrit.wikimedia.org/r/#/q/e844daa4,n,z",1270953.0,1.33.0-wmf.25,396,0
2019-04-05 21:48:54,2019-04-05 23:02:04,4,1,5,1,"https://gerrit.wikimedia.org/r/#/q/bf29eadf,n,z",4390.0,1.33.0-wmf.25,396,0
2019-04-05 19:36:55,2019-04-05 20:09:09,3,0,3,1,"https://gerrit.wikimedia.org/r/#/q/0c98c5d4,n,z",1934.0,1.33.0-wmf.25,396,0
2019-04-05 17:49:16,2019-04-05 20:27:16,4,4,8,6,"https://gerrit.wikimedia.org/r/#/q/a94c300c,n,z",9480.0,1.33.0-wmf.25,396,0
2019-04-05 16:27:49,2019-04-05 16:53:30,0,6,6,1,"https://gerrit.wikimedia.org/r/#/q/cbe4ffe2,n,z",1541.0,1.33.0-wmf.25,396,0
2019-04-05 16:02:18,2019-04-05 16:24:36,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/76654999,n,z",1338.0,1.33.0-wmf.25,396,0
2019-03-12 07:56:26,2019-04-05 16:45:32,2553,704,3257,33,"https://gerrit.wikimedia.org/r/#/q/8e1342ed,n,z",2105346.0,1.33.0-wmf.25,396,0
2019-04-03 08:50:09,2019-04-05 16:45:23,64,6,70,14,"https://gerrit.wikimedia.org/r/#/q/2d721e69,n,z",201314.0,1.33.0-wmf.25,396,0
2019-03-26 10:54:00,2019-04-05 14:50:59,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/31aeedb9,n,z",878219.0,1.33.0-wmf.25,396,0
2019-03-21 18:53:02,2019-04-06 09:54:16,321,59,380,24,"https://gerrit.wikimedia.org/r/#/q/eb603040,n,z",1350074.0,1.33.0-wmf.25,396,0
2019-04-05 06:43:55,2019-04-05 09:45:47,5,1,6,1,"https://gerrit.wikimedia.org/r/#/q/a1f90c1b,n,z",10912.0,1.33.0-wmf.25,396,0
2019-04-05 04:20:36,2019-04-05 23:38:51,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/1f5c0bb8,n,z",69495.0,1.33.0-wmf.25,396,0
2019-04-05 04:18:46,2019-04-05 16:00:09,54,42,96,2,"https://gerrit.wikimedia.org/r/#/q/cd4e33a3,n,z",42083.0,1.33.0-wmf.25,396,0
2019-03-17 05:45:25,2019-04-05 18:02:33,34,21,55,3,"https://gerrit.wikimedia.org/r/#/q/0dc749e0,n,z",1685828.0,1.33.0-wmf.25,396,0
2019-04-05 00:10:51,2019-04-05 02:37:49,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/4bff6f15,n,z",8818.0,1.33.0-wmf.25,396,0
2019-04-04 23:26:06,2019-04-05 00:46:45,4,0,4,1,"https://gerrit.wikimedia.org/r/#/q/203ae7e1,n,z",4839.0,1.33.0-wmf.25,396,0
2019-04-04 21:42:43,2019-04-04 22:58:33,403,355,758,1,"https://gerrit.wikimedia.org/r/#/q/fe3f47ce,n,z",4550.0,1.33.0-wmf.25,396,0
