created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2018-05-21 16:54:05,2018-05-22 18:18:41,7,4,11,1,"https://gerrit.wikimedia.org/r/#/q/bcfb9b86,n,z",91476.0,1.32.0-wmf.5,236,0
2018-05-22 07:04:44,2018-05-22 11:35:24,48,47,95,1,"https://gerrit.wikimedia.org/r/#/q/d65ac782,n,z",16240.0,1.32.0-wmf.5,236,0
2018-05-20 12:10:56,2018-05-22 03:37:41,5,32,37,3,"https://gerrit.wikimedia.org/r/#/q/f8ac2662,n,z",142005.0,1.32.0-wmf.5,236,0
2018-05-07 16:03:50,2018-05-21 09:04:27,11,0,11,10,"https://gerrit.wikimedia.org/r/#/q/4f8cf894,n,z",1184437.0,1.32.0-wmf.5,236,0
2018-05-20 21:41:05,2018-05-21 19:23:53,6,3,9,1,"https://gerrit.wikimedia.org/r/#/q/b332aa87,n,z",78168.0,1.32.0-wmf.5,236,0
2018-05-20 19:13:12,2018-05-21 19:28:51,14,2,16,2,"https://gerrit.wikimedia.org/r/#/q/bf9bc2ae,n,z",87339.0,1.32.0-wmf.5,236,0
2018-05-20 14:54:01,2018-05-20 18:52:30,1,1,2,3,"https://gerrit.wikimedia.org/r/#/q/3b85e362,n,z",14309.0,1.32.0-wmf.5,236,0
2018-05-20 13:49:04,2018-05-20 17:45:44,43,50,93,3,"https://gerrit.wikimedia.org/r/#/q/ecc812f0,n,z",14200.0,1.32.0-wmf.5,236,0
2018-03-24 13:33:04,2018-05-20 08:26:26,40,25,65,4,"https://gerrit.wikimedia.org/r/#/q/ec46c467,n,z",4906402.0,1.32.0-wmf.5,236,0
2018-05-19 23:41:00,2018-05-20 08:55:03,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/a89095bd,n,z",33243.0,1.32.0-wmf.5,236,0
2018-05-19 20:05:16,2018-05-20 08:50:45,38,5,43,5,"https://gerrit.wikimedia.org/r/#/q/399b391f,n,z",45929.0,1.32.0-wmf.5,236,0
2018-05-19 18:38:52,2018-05-20 08:50:48,22,4,26,1,"https://gerrit.wikimedia.org/r/#/q/f4d1039a,n,z",51116.0,1.32.0-wmf.5,236,0
2018-05-19 21:52:05,2018-05-19 23:13:25,3,1,4,1,"https://gerrit.wikimedia.org/r/#/q/392ec106,n,z",4880.0,1.32.0-wmf.5,236,0
