created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2018-04-10 14:11:14,2018-04-10 14:51:06,5,10,15,1,"https://gerrit.wikimedia.org/r/#/q/cec597e2,n,z",2392.0,1.31.0-wmf.29,362,1
2018-04-10 07:29:48,2018-04-10 07:59:18,48,28,76,3,"https://gerrit.wikimedia.org/r/#/q/2291e9f3,n,z",1770.0,1.31.0-wmf.29,362,1
2016-09-22 15:20:04,2018-04-10 05:32:04,28,48,76,35,"https://gerrit.wikimedia.org/r/#/q/ebf4bb56,n,z",48780720.0,1.31.0-wmf.29,362,1
2018-04-02 22:27:37,2018-04-10 02:59:07,16,4,20,4,"https://gerrit.wikimedia.org/r/#/q/50212e6d,n,z",621090.0,1.31.0-wmf.29,362,1
2018-04-05 18:59:03,2018-04-10 02:14:26,112,21,133,6,"https://gerrit.wikimedia.org/r/#/q/0618227f,n,z",371723.0,1.31.0-wmf.29,362,1
2018-03-24 13:22:50,2018-04-10 07:17:24,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/382a25fd,n,z",1446874.0,1.31.0-wmf.29,362,1
2017-10-18 17:56:55,2018-04-10 12:04:39,61,6,67,28,"https://gerrit.wikimedia.org/r/#/q/e6e9a827,n,z",15012464.0,1.31.0-wmf.29,362,1
2018-04-09 21:37:09,2018-04-10 00:51:33,9,1,10,1,"https://gerrit.wikimedia.org/r/#/q/ba357627,n,z",11664.0,1.31.0-wmf.29,362,1
2018-04-09 19:20:03,2018-04-10 14:39:55,0,1,1,1,"https://gerrit.wikimedia.org/r/#/q/be9fefec,n,z",69592.0,1.31.0-wmf.29,362,1
2018-04-09 16:05:37,2018-04-09 23:50:47,62,7,69,1,"https://gerrit.wikimedia.org/r/#/q/6318430f,n,z",27910.0,1.31.0-wmf.29,362,1
2018-04-09 04:08:39,2018-04-09 16:11:58,0,3,3,2,"https://gerrit.wikimedia.org/r/#/q/8c47b375,n,z",43399.0,1.31.0-wmf.29,362,1
2018-04-09 00:11:51,2018-04-09 15:56:49,0,7,7,1,"https://gerrit.wikimedia.org/r/#/q/8a403cdb,n,z",56698.0,1.31.0-wmf.29,362,1
2018-04-08 19:39:52,2018-04-09 15:56:09,8,9,17,3,"https://gerrit.wikimedia.org/r/#/q/24ae4318,n,z",72977.0,1.31.0-wmf.29,362,1
2018-03-27 14:28:48,2018-04-10 17:03:46,577,66,643,10,"https://gerrit.wikimedia.org/r/#/q/be391449,n,z",1218898.0,1.31.0-wmf.29,362,1
2018-03-25 18:37:53,2018-04-10 15:31:29,398,30,428,24,"https://gerrit.wikimedia.org/r/#/q/4fe5d0db,n,z",1371216.0,1.31.0-wmf.29,362,1
2018-04-08 09:36:32,2018-04-08 12:46:56,5,5,10,1,"https://gerrit.wikimedia.org/r/#/q/0df357b9,n,z",11424.0,1.31.0-wmf.29,362,1
2018-04-08 02:31:30,2018-04-08 19:50:05,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/d23e47e1,n,z",62315.0,1.31.0-wmf.29,362,1
2018-04-08 00:41:28,2018-04-09 20:43:16,18,0,18,2,"https://gerrit.wikimedia.org/r/#/q/b4925e34,n,z",158508.0,1.31.0-wmf.29,362,1
2018-04-07 23:07:24,2018-04-08 19:49:59,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/96bbe7cb,n,z",74555.0,1.31.0-wmf.29,362,1
2018-04-08 00:41:28,2018-04-08 19:50:02,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/28267081,n,z",68914.0,1.31.0-wmf.29,362,1
2018-03-09 20:53:26,2018-04-07 01:13:00,1,9,10,3,"https://gerrit.wikimedia.org/r/#/q/64b146e5,n,z",2434774.0,1.31.0-wmf.29,362,1
2018-03-09 20:35:57,2018-04-07 01:11:39,1,10,11,3,"https://gerrit.wikimedia.org/r/#/q/80f787fb,n,z",2435742.0,1.31.0-wmf.29,362,1
2018-03-09 20:41:47,2018-04-07 01:02:26,1,10,11,3,"https://gerrit.wikimedia.org/r/#/q/3f1230e9,n,z",2434839.0,1.31.0-wmf.29,362,1
2018-03-28 21:06:09,2018-04-07 10:45:06,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/d517325c,n,z",826737.0,1.31.0-wmf.29,362,1
