created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2019-01-11 20:07:54,2019-01-11 21:22:00,726,509,1235,3,"https://gerrit.wikimedia.org/r/#/q/fd444fe3,n,z",4446.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-10 17:53:29,2019-01-10 18:35:24,73,34,107,3,"https://gerrit.wikimedia.org/r/#/q/75705709,n,z",2515.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-09 18:38:10,2019-01-10 00:22:17,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/55a37c9c,n,z",20647.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-09 11:42:04,2019-01-09 12:42:30,23,16,39,2,"https://gerrit.wikimedia.org/r/#/q/4fb4de28,n,z",3626.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-08 17:47:52,2019-01-08 18:48:56,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/f96c988f,n,z",3664.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-08 17:40:44,2019-01-08 18:32:45,212,155,367,1,"https://gerrit.wikimedia.org/r/#/q/b3e490bb,n,z",3121.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2014-07-28 21:40:58,2019-01-08 16:28:39,18,4,22,16,"https://gerrit.wikimedia.org/r/#/q/8c7b6351,n,z",140381261.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-08 12:52:17,2019-01-08 18:37:25,27,1,28,2,"https://gerrit.wikimedia.org/r/#/q/d11e342e,n,z",20708.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-02 09:29:47,2019-01-08 18:57:25,0,10,10,12,"https://gerrit.wikimedia.org/r/#/q/8fb36661,n,z",552458.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-03 05:18:29,2019-01-08 06:27:07,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/d9ca1abd,n,z",436118.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-08 04:59:47,2019-01-08 19:00:37,1538,214,1752,1,"https://gerrit.wikimedia.org/r/#/q/9cd3b527,n,z",50450.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
2019-01-07 22:27:06,2019-01-08 09:21:53,2,0,2,4,"https://gerrit.wikimedia.org/r/#/q/fa85d30d,n,z",39287.0,1.33.0-wmf.12,452,0,Dan Duvall,0,0,0,0,168251
