version,created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,patches,conductor,rollbacks,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
1.36.0-wmf.10,2020-09-16 16:17:58,2020-09-16 23:40:24,1,1,2,8,"https://gerrit.wikimedia.org/r/#/q/395bd674,n,z",26546.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-16 21:20:23,2020-09-16 22:22:43,11,1,12,3,"https://gerrit.wikimedia.org/r/#/q/948f2524,n,z",3740.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-16 01:55:33,2020-09-16 10:00:18,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/36e77036,n,z",29085.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-09 14:25:05,2020-09-15 21:35:15,68,95,163,9,"https://gerrit.wikimedia.org/r/#/q/49750bd3,n,z",544210.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-08 13:02:47,2020-09-15 16:21:08,31,9,40,11,"https://gerrit.wikimedia.org/r/#/q/9f4c7412,n,z",616701.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-08 14:32:17,2020-09-17 18:13:04,8,3,11,8,"https://gerrit.wikimedia.org/r/#/q/2f846982,n,z",790847.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 21:00:01,2020-09-17 21:22:47,233,214,447,0,"https://gerrit.wikimedia.org/r/#/q/7abcd61f,n,z",1366.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 08:07:15,2020-09-17 09:32:58,13,1,14,2,"https://gerrit.wikimedia.org/r/#/q/1ceef12c,n,z",5143.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-14 20:42:22,2020-09-17 01:39:23,7,7,14,2,"https://gerrit.wikimedia.org/r/#/q/3d5033b1,n,z",190621.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 23:47:15,2020-09-20 12:51:31,13,14,27,1,"https://gerrit.wikimedia.org/r/#/q/3edb7c86,n,z",47056.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-08-30 10:54:04,2020-09-17 03:22:03,2,2,4,5,"https://gerrit.wikimedia.org/r/#/q/64487df7,n,z",1528079.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-02-18 13:23:05,2020-09-19 05:22:41,4,10,14,7,"https://gerrit.wikimedia.org/r/#/q/0b12def2,n,z",18460776.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-22 01:01:21,2020-09-22 01:22:16,40,30,70,1,"https://gerrit.wikimedia.org/r/#/q/c60090db,n,z",1255.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 23:44:19,2020-09-20 12:54:40,16,17,33,1,"https://gerrit.wikimedia.org/r/#/q/70550299,n,z",47421.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-06-16 10:59:24,2020-09-21 01:04:51,6,36,42,1,"https://gerrit.wikimedia.org/r/#/q/c8629390,n,z",8345127.0,381,Ahmon Dancy,1,108,0,0,4,1809157
