created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2021-01-05 02:07:21,2021-01-05 12:29:09,971,3,974,2,"https://gerrit.wikimedia.org/r/#/q/38972024,n,z",37308.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-04 23:08:11,2021-01-05 00:46:17,2,516,518,2,"https://gerrit.wikimedia.org/r/#/q/6cbd1f59,n,z",5886.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-04 18:16:19,2021-01-04 21:07:40,7,2,9,6,"https://gerrit.wikimedia.org/r/#/q/10e043b9,n,z",10281.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-04 07:18:51,2021-01-04 08:16:03,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/0a4cd7c6,n,z",3432.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-02 20:33:23,2021-01-04 00:41:33,24,25,49,9,"https://gerrit.wikimedia.org/r/#/q/3aade9e4,n,z",101290.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-03 23:00:24,2021-01-04 00:16:29,56,50,106,3,"https://gerrit.wikimedia.org/r/#/q/c08a03ee,n,z",4565.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-03 19:42:49,2021-01-03 22:31:06,6,6,12,2,"https://gerrit.wikimedia.org/r/#/q/4bdaf3af,n,z",10097.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-03 03:18:19,2021-01-03 04:20:25,12,9,21,3,"https://gerrit.wikimedia.org/r/#/q/9b887ac1,n,z",3726.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-03 02:34:30,2021-01-03 03:52:35,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/87ecf20a,n,z",4685.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-03 01:11:56,2021-01-03 12:42:26,8,1,9,1,"https://gerrit.wikimedia.org/r/#/q/bbda7591,n,z",41430.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-03 01:10:12,2021-01-04 07:46:59,17,5,22,1,"https://gerrit.wikimedia.org/r/#/q/b19843af,n,z",110207.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-01 22:39:16,2021-01-02 19:24:54,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/2eb84b33,n,z",74738.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-02 10:15:15,2021-01-02 20:12:33,8,4,12,2,"https://gerrit.wikimedia.org/r/#/q/23a5c23a,n,z",35838.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-02 07:21:11,2021-01-02 09:55:52,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/9efb07c9,n,z",9281.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2017-06-05 13:52:14,2021-01-02 01:17:27,19,9,28,7,"https://gerrit.wikimedia.org/r/#/q/23b4bdb1,n,z",112879513.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2021-01-01 21:34:56,2021-01-01 23:01:55,4,0,4,2,"https://gerrit.wikimedia.org/r/#/q/01aee509,n,z",5219.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-23 07:11:44,2021-01-02 12:55:20,7,7,14,8,"https://gerrit.wikimedia.org/r/#/q/f9ccfa7c,n,z",884616.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-30 13:03:23,2021-01-03 16:18:06,5,5,10,1,"https://gerrit.wikimedia.org/r/#/q/b0254796,n,z",357283.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-30 18:39:39,2020-12-30 23:59:00,39,2,41,1,"https://gerrit.wikimedia.org/r/#/q/a30fe542,n,z",19161.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-30 21:45:48,2020-12-30 23:32:49,19,15,34,1,"https://gerrit.wikimedia.org/r/#/q/4f73dfa8,n,z",6421.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-30 13:29:54,2020-12-30 23:54:27,77,60,137,7,"https://gerrit.wikimedia.org/r/#/q/e9e784a0,n,z",37473.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-23 17:44:11,2020-12-31 01:23:40,57,43,100,2,"https://gerrit.wikimedia.org/r/#/q/27319def,n,z",632369.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-30 09:50:44,2020-12-31 03:29:41,3,4,7,2,"https://gerrit.wikimedia.org/r/#/q/412d0f1a,n,z",63537.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-30 08:55:48,2020-12-31 23:15:28,20,5,25,2,"https://gerrit.wikimedia.org/r/#/q/f0a9d912,n,z",137980.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
2020-12-28 18:32:48,2020-12-31 01:09:13,128,85,213,5,"https://gerrit.wikimedia.org/r/#/q/35107738,n,z",196585.0,1.36.0-wmf.25,764,2,Jeena Huneidi,86083,0,0,0,762580
