created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2020-06-24 17:28:29,2020-06-25 11:11:32,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/1044a8cf,n,z",63783.0,1.35.0-wmf.39,358,1
2020-05-30 16:13:43,2020-06-25 11:38:50,2,2,4,3,"https://gerrit.wikimedia.org/r/#/q/ac496e8c,n,z",2229907.0,1.35.0-wmf.39,358,1
2020-06-25 06:14:20,2020-06-25 15:06:08,200,171,371,2,"https://gerrit.wikimedia.org/r/#/q/63b0fa35,n,z",31908.0,1.35.0-wmf.39,358,1
2020-06-25 06:12:08,2020-06-25 10:43:16,7,1,8,3,"https://gerrit.wikimedia.org/r/#/q/9ba8f8d1,n,z",16268.0,1.35.0-wmf.39,358,1
2020-06-25 06:09:43,2020-06-25 10:30:33,29,40,69,2,"https://gerrit.wikimedia.org/r/#/q/ef0ee464,n,z",15650.0,1.35.0-wmf.39,358,1
2020-04-20 22:54:08,2020-06-25 05:58:53,4,1,5,1,"https://gerrit.wikimedia.org/r/#/q/a51e1b0f,n,z",5641485.0,1.35.0-wmf.39,358,1
2020-06-25 01:19:47,2020-06-25 11:11:18,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/1359f153,n,z",35491.0,1.35.0-wmf.39,358,1
2020-06-24 22:50:11,2020-06-25 00:18:26,1,2,3,1,"https://gerrit.wikimedia.org/r/#/q/9132b2e3,n,z",5295.0,1.35.0-wmf.39,358,1
2020-06-24 22:05:35,2020-06-24 22:34:38,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/72010ca8,n,z",1743.0,1.35.0-wmf.39,358,1
2020-06-24 21:48:08,2020-06-24 22:27:21,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/491bc21a,n,z",2353.0,1.35.0-wmf.39,358,1
2020-06-17 23:04:35,2020-06-24 22:12:49,6,6,12,4,"https://gerrit.wikimedia.org/r/#/q/7b4b13cd,n,z",601694.0,1.35.0-wmf.39,358,1
