created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2019-09-20 19:41:13,2019-09-24 17:41:06,5,0,5,3,"https://gerrit.wikimedia.org/r/#/q/c0ea9c28,n,z",338393.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-24 06:54:37,2019-09-24 17:12:13,3,0,3,1,"https://gerrit.wikimedia.org/r/#/q/2830ba44,n,z",37056.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-24 00:02:16,2019-09-24 00:56:30,16,20,36,4,"https://gerrit.wikimedia.org/r/#/q/6e117a95,n,z",3254.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-24 00:12:51,2019-09-24 00:56:22,99,101,200,1,"https://gerrit.wikimedia.org/r/#/q/f4975bc6,n,z",2611.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-23 19:10:17,2019-09-23 19:36:47,4,4,8,1,"https://gerrit.wikimedia.org/r/#/q/5ca68877,n,z",1590.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-22 19:29:33,2019-09-23 20:11:36,4,4,8,5,"https://gerrit.wikimedia.org/r/#/q/a5f19708,n,z",88923.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-05-28 22:57:26,2019-09-23 18:56:51,78,17,95,16,"https://gerrit.wikimedia.org/r/#/q/97eab7f3,n,z",10180765.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-07-01 23:26:13,2019-09-23 15:28:03,17,1,18,18,"https://gerrit.wikimedia.org/r/#/q/a5deeac5,n,z",7228910.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-22 10:21:11,2019-09-22 20:08:22,4,4,8,1,"https://gerrit.wikimedia.org/r/#/q/bb7d9f52,n,z",35231.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2018-09-18 20:02:21,2019-09-21 17:16:09,42,20,62,5,"https://gerrit.wikimedia.org/r/#/q/db3a8beb,n,z",31785228.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-20 03:20:57,2019-09-21 03:06:27,7,0,7,9,"https://gerrit.wikimedia.org/r/#/q/be924121,n,z",85530.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-21 01:32:34,2019-09-21 03:29:49,0,9,9,1,"https://gerrit.wikimedia.org/r/#/q/7d82ce8b,n,z",7035.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-19 20:57:00,2019-09-20 23:18:09,0,1,1,7,"https://gerrit.wikimedia.org/r/#/q/f25008be,n,z",94869.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-19 18:32:51,2019-09-23 17:01:47,9,2,11,8,"https://gerrit.wikimedia.org/r/#/q/b6dfaa50,n,z",340136.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-20 17:54:33,2019-09-20 18:53:04,2,10,12,7,"https://gerrit.wikimedia.org/r/#/q/e7848410,n,z",3511.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-08-19 16:12:46,2019-09-20 21:07:20,13,13,26,9,"https://gerrit.wikimedia.org/r/#/q/1eb5d8e4,n,z",2782474.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-17 14:30:09,2019-09-20 15:55:08,26,27,53,3,"https://gerrit.wikimedia.org/r/#/q/e06ce9f4,n,z",264299.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-20 12:23:40,2019-09-20 19:59:52,8,3,11,1,"https://gerrit.wikimedia.org/r/#/q/e75a8edd,n,z",27372.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-20 09:46:02,2019-09-20 10:32:31,5,5,10,1,"https://gerrit.wikimedia.org/r/#/q/dd932818,n,z",2789.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-20 01:08:09,2019-09-20 17:45:07,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/203f7aba,n,z",59818.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
2019-09-19 20:46:59,2019-09-20 23:33:04,6,25,31,3,"https://gerrit.wikimedia.org/r/#/q/441e12f2,n,z",96365.0,1.34.0-wmf.24,226,0,Mukunda Modell,0,0,0,0,768896
