created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2019-06-25 16:38:59,2019-06-25 17:20:05,5,5,10,2,"https://gerrit.wikimedia.org/r/#/q/b71610c0,n,z",2466.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-25 08:45:20,2019-06-25 16:05:50,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/6ea72c55,n,z",26430.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-05-21 21:33:16,2019-06-25 17:15:39,408,5,413,35,"https://gerrit.wikimedia.org/r/#/q/ed13d3fa,n,z",3008543.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-03 21:30:36,2019-06-24 23:29:11,43,2,45,8,"https://gerrit.wikimedia.org/r/#/q/7271ac0d,n,z",1821515.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-24 22:47:31,2019-06-24 23:27:44,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/c84546f1,n,z",2413.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 23:20:17,2,13,15,1,"https://gerrit.wikimedia.org/r/#/q/7bb16a14,n,z",266580.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 23:08:02,2,11,13,1,"https://gerrit.wikimedia.org/r/#/q/d5cf7a49,n,z",265845.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 23:14:48,1,15,16,2,"https://gerrit.wikimedia.org/r/#/q/06a34d58,n,z",266251.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 23:20:11,2,23,25,2,"https://gerrit.wikimedia.org/r/#/q/348a29f3,n,z",266574.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 22:49:46,2,6,8,1,"https://gerrit.wikimedia.org/r/#/q/6b2c6fdf,n,z",264749.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 23:02:09,2,16,18,2,"https://gerrit.wikimedia.org/r/#/q/ac5b9e53,n,z",265492.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-24 23:06:05,2,8,10,2,"https://gerrit.wikimedia.org/r/#/q/614f1568,n,z",265728.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-16 09:32:40,2019-06-24 17:14:04,6,1,7,5,"https://gerrit.wikimedia.org/r/#/q/44de6a62,n,z",718884.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-24 14:53:40,2019-06-24 18:38:35,18,5,23,3,"https://gerrit.wikimedia.org/r/#/q/4821c636,n,z",13495.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-05 12:54:58,2019-06-24 17:15:17,18,33,51,5,"https://gerrit.wikimedia.org/r/#/q/005dd912,n,z",1657219.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:03:11,2019-06-24 19:47:53,2,0,2,7,"https://gerrit.wikimedia.org/r/#/q/6a0391d7,n,z",254682.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-07 19:16:44,2019-06-23 09:09:52,4330,0,4330,22,"https://gerrit.wikimedia.org/r/#/q/002f409a,n,z",1345988.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-15 06:41:37,2019-06-22 20:13:05,16,10,26,11,"https://gerrit.wikimedia.org/r/#/q/af5df424,n,z",653488.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 01:20:02,2019-06-24 17:03:05,26,10,36,3,"https://gerrit.wikimedia.org/r/#/q/8d0ef622,n,z",488583.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 19:03:42,2019-06-24 17:03:13,9,9,18,1,"https://gerrit.wikimedia.org/r/#/q/1fb1494c,n,z",338371.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 16:32:01,2019-06-22 15:09:09,25,8,33,2,"https://gerrit.wikimedia.org/r/#/q/6718d183,n,z",254228.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-22 12:25:14,2019-06-22 12:26:41,1,418,419,1,"https://gerrit.wikimedia.org/r/#/q/ec104811,n,z",87.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-05-31 20:04:09,2019-06-21 21:56:47,418,1,419,8,"https://gerrit.wikimedia.org/r/#/q/d0c2da82,n,z",1821158.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 21:17:17,2019-06-22 20:24:25,4,19,23,2,"https://gerrit.wikimedia.org/r/#/q/96acf994,n,z",83228.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-05-11 15:29:17,2019-06-21 22:11:42,2,7,9,5,"https://gerrit.wikimedia.org/r/#/q/65b8992f,n,z",3566545.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-21 08:27:04,2019-06-21 09:31:58,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/849af2b7,n,z",3894.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 21:56:02,2019-06-20 22:53:01,2,24,26,2,"https://gerrit.wikimedia.org/r/#/q/0022a545,n,z",3419.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 10:49:45,2019-06-20 21:41:44,61,11,72,6,"https://gerrit.wikimedia.org/r/#/q/9510597f,n,z",39119.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 19:00:44,2019-06-20 20:55:22,1,15,16,3,"https://gerrit.wikimedia.org/r/#/q/1cb3851f,n,z",93278.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 17:00:06,2019-06-20 19:53:20,17,14,31,3,"https://gerrit.wikimedia.org/r/#/q/53968321,n,z",10394.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-04-23 17:11:53,2019-06-21 16:12:05,144,40,184,8,"https://gerrit.wikimedia.org/r/#/q/bda42cef,n,z",5094012.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 16:58:04,2019-06-21 06:07:33,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/3f96c82e,n,z",47369.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 17:51:43,2019-06-20 22:25:52,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/f7334caf,n,z",16449.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 12:03:30,2019-06-20 18:02:25,2,13,15,2,"https://gerrit.wikimedia.org/r/#/q/716bb024,n,z",21535.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-05 16:28:23,2019-06-20 17:58:54,1,9,10,5,"https://gerrit.wikimedia.org/r/#/q/21632592,n,z",1301431.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 19:41:54,2019-06-21 01:26:15,22,18,40,1,"https://gerrit.wikimedia.org/r/#/q/7074ce2f,n,z",193461.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 18:10:31,2019-06-21 06:06:56,12,12,24,8,"https://gerrit.wikimedia.org/r/#/q/d7e88d9e,n,z",129385.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 14:33:22,2019-06-20 16:11:57,6,0,6,1,"https://gerrit.wikimedia.org/r/#/q/2c35b5be,n,z",5915.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 01:20:02,2019-06-21 20:23:21,153,77,230,3,"https://gerrit.wikimedia.org/r/#/q/69c50314,n,z",241399.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 10:01:46,2019-06-20 11:02:36,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/6ae93733,n,z",3650.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 01:44:14,2019-06-20 03:12:22,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/f0162afb,n,z",5288.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-20 00:25:38,2019-06-20 22:28:10,0,7,7,2,"https://gerrit.wikimedia.org/r/#/q/e1c3b042,n,z",79352.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 22:48:14,2019-06-20 11:22:07,29,5,34,4,"https://gerrit.wikimedia.org/r/#/q/a72b0828,n,z",45233.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 19:44:03,2019-06-20 16:54:25,5,5,10,1,"https://gerrit.wikimedia.org/r/#/q/121734c3,n,z",76222.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 19:42:48,2019-06-20 16:54:31,12,12,24,1,"https://gerrit.wikimedia.org/r/#/q/fa607f56,n,z",76303.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 16:00:15,2019-06-20 16:24:00,8,198,206,3,"https://gerrit.wikimedia.org/r/#/q/8a80f58c,n,z",87825.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 18:39:51,2019-06-20 16:26:37,53,152,205,1,"https://gerrit.wikimedia.org/r/#/q/ce1bd86a,n,z",78406.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 18:57:13,2019-06-20 19:18:41,4,34,38,8,"https://gerrit.wikimedia.org/r/#/q/2a806d04,n,z",87688.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 17:28:38,2019-06-19 19:03:44,2,0,2,2,"https://gerrit.wikimedia.org/r/#/q/63bda41e,n,z",5706.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 16:11:06,2019-06-19 17:29:38,43,37,80,1,"https://gerrit.wikimedia.org/r/#/q/b9a67d47,n,z",4712.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 17:26:36,2019-06-20 00:00:55,37,1,38,7,"https://gerrit.wikimedia.org/r/#/q/8035a00e,n,z",110059.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 14:40:07,2019-06-20 10:50:10,4,7,11,1,"https://gerrit.wikimedia.org/r/#/q/469d961b,n,z",72603.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 14:06:55,2019-06-19 20:47:01,8,18,26,1,"https://gerrit.wikimedia.org/r/#/q/e26f8178,n,z",24006.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-16 20:32:59,2019-06-19 14:10:33,7,4,11,5,"https://gerrit.wikimedia.org/r/#/q/86a1f6f0,n,z",236254.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-17 19:19:29,2019-06-19 13:27:01,128,115,243,5,"https://gerrit.wikimedia.org/r/#/q/3cbb232c,n,z",151652.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 05:59:44,2019-06-20 22:39:16,1,2,3,1,"https://gerrit.wikimedia.org/r/#/q/da0a0a85,n,z",146372.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-19 02:19:57,2019-06-19 13:27:07,4,1,5,1,"https://gerrit.wikimedia.org/r/#/q/5eed0371,n,z",40030.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-05-15 05:06:42,2019-06-19 01:35:47,1,1,2,5,"https://gerrit.wikimedia.org/r/#/q/1d863650,n,z",3011345.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-13 21:02:14,2019-06-19 02:14:15,3,3,6,3,"https://gerrit.wikimedia.org/r/#/q/f557b2be,n,z",450721.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-13 18:28:26,2019-06-19 11:20:31,1,0,1,1,"https://gerrit.wikimedia.org/r/#/q/5c89c272,n,z",492725.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 20:19:00,2019-06-18 20:34:15,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/e85c1383,n,z",915.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 20:17:52,2019-06-18 20:33:41,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/9fa4b4eb,n,z",949.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 19:40:44,2019-06-18 23:40:01,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/0c2a4048,n,z",14357.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 19:21:05,2019-06-19 06:56:00,2053,0,2053,7,"https://gerrit.wikimedia.org/r/#/q/e26d8176,n,z",41695.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 19:13:18,2019-06-18 19:35:14,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/c27085dd,n,z",1316.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 19:10:49,2019-06-18 19:38:45,11,5,16,2,"https://gerrit.wikimedia.org/r/#/q/b3ac3bd8,n,z",1676.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 18:34:03,2019-06-19 01:25:09,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/90832394,n,z",24666.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
2019-06-18 18:28:49,2019-06-18 19:38:33,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/33677ba4,n,z",4184.0,1.34.0-wmf.11,251,0,Jeena Huneidi,0,0,0,0,170440
