created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2019-05-07 14:52:47,2019-05-07 18:07:48,3,0,3,2,"https://gerrit.wikimedia.org/r/#/q/ba1ab18b,n,z",11701.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2018-08-05 12:44:57,2019-05-07 13:27:05,45,13,58,8,"https://gerrit.wikimedia.org/r/#/q/82311f8c,n,z",23762528.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-07 12:15:38,2019-05-07 17:50:28,2,1,3,3,"https://gerrit.wikimedia.org/r/#/q/7deab901,n,z",20090.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-07 01:09:09,2019-05-07 15:34:54,2,5,7,1,"https://gerrit.wikimedia.org/r/#/q/a6643499,n,z",51945.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-06 21:08:57,2019-05-06 21:46:51,1,0,1,1,"https://gerrit.wikimedia.org/r/#/q/2cea8289,n,z",2274.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-06 20:48:53,2019-05-07 01:09:53,5,12,17,2,"https://gerrit.wikimedia.org/r/#/q/7fdc5220,n,z",15660.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-06 09:04:29,2019-05-07 12:14:28,161,6,167,5,"https://gerrit.wikimedia.org/r/#/q/ddd1d4b9,n,z",97799.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-04 20:56:21,2019-05-06 18:04:23,32,40,72,4,"https://gerrit.wikimedia.org/r/#/q/49380381,n,z",162482.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-04 20:56:21,2019-05-06 18:02:47,16,20,36,3,"https://gerrit.wikimedia.org/r/#/q/2bcd74d9,n,z",162386.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-06 14:34:15,2019-05-07 08:06:59,1,0,1,4,"https://gerrit.wikimedia.org/r/#/q/20bb2b06,n,z",63164.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-04-29 17:34:23,2019-05-06 19:33:44,389,516,905,6,"https://gerrit.wikimedia.org/r/#/q/761e704d,n,z",611961.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-04-29 17:34:23,2019-05-06 19:33:36,251,110,361,10,"https://gerrit.wikimedia.org/r/#/q/e30cb5ba,n,z",611953.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-03 02:02:39,2019-05-06 15:19:38,39,5,44,7,"https://gerrit.wikimedia.org/r/#/q/d4b72572,n,z",307019.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-04-30 15:28:56,2019-05-06 12:32:17,756,47,803,7,"https://gerrit.wikimedia.org/r/#/q/a220518f,n,z",507801.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
2019-05-01 12:57:06,2019-05-06 12:51:45,65,40,105,5,"https://gerrit.wikimedia.org/r/#/q/e6691999,n,z",431679.0,1.34.0-wmf.4,290,0,Tyler Cipriani,0,0,0,0,757385
