created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2019-06-18 00:27:34,2019-06-18 16:00:41,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/4149b597,n,z",55987.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-17 21:21:00,2019-06-18 15:48:53,145,3,148,15,"https://gerrit.wikimedia.org/r/#/q/b4c546f5,n,z",66473.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2018-06-08 20:17:00,2019-06-18 14:47:35,32,50,82,39,"https://gerrit.wikimedia.org/r/#/q/725a59f0,n,z",32380235.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-18 00:01:06,2019-06-18 00:20:49,2,1,3,2,"https://gerrit.wikimedia.org/r/#/q/098463b7,n,z",1183.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-16 06:16:32,2019-06-17 22:55:20,16,1,17,14,"https://gerrit.wikimedia.org/r/#/q/cb0ffddb,n,z",146328.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-17 19:23:30,2019-06-17 23:50:42,2,186,188,2,"https://gerrit.wikimedia.org/r/#/q/dd8aab73,n,z",16032.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-14 09:14:55,2019-06-17 19:39:02,4,3,7,5,"https://gerrit.wikimedia.org/r/#/q/360f741d,n,z",296647.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-15 09:28:59,2019-06-17 20:00:45,103,103,206,6,"https://gerrit.wikimedia.org/r/#/q/110a5877,n,z",210706.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-16 12:01:03,2019-06-17 18:02:31,0,1,1,1,"https://gerrit.wikimedia.org/r/#/q/659dc91f,n,z",108088.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-17 16:41:52,2019-06-18 01:30:50,3,3,6,2,"https://gerrit.wikimedia.org/r/#/q/cfb9ddc7,n,z",31738.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-17 10:35:09,2019-06-17 17:20:47,25,0,25,4,"https://gerrit.wikimedia.org/r/#/q/f32ef062,n,z",24338.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-17 09:12:12,2019-06-17 10:33:35,3,0,3,7,"https://gerrit.wikimedia.org/r/#/q/9c52f982,n,z",4883.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
2019-06-17 00:58:22,2019-06-17 01:53:47,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/e8f961b8,n,z",3325.0,1.34.0-wmf.10,781,2,Mukunda Modell,442543,6,5,5,602770
