created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2019-05-13 17:25:49,2019-05-13 19:46:34,5,0,5,2,"https://gerrit.wikimedia.org/r/#/q/6a469c3b,n,z",8445.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-04-27 05:13:16,2019-05-13 18:54:50,1,75,76,5,"https://gerrit.wikimedia.org/r/#/q/7fb445ed,n,z",1431694.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-11 15:23:06,2019-05-13 15:46:33,1,14,15,5,"https://gerrit.wikimedia.org/r/#/q/a1731db5,n,z",174207.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-13 14:35:31,2019-05-13 16:30:16,0,1,1,2,"https://gerrit.wikimedia.org/r/#/q/6713af85,n,z",6885.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-13 14:27:24,2019-05-13 15:46:44,3,2,5,3,"https://gerrit.wikimedia.org/r/#/q/f5ef28ca,n,z",4760.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-13 13:04:45,2019-05-13 14:23:56,2,49,51,3,"https://gerrit.wikimedia.org/r/#/q/74127225,n,z",4751.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-13 10:38:59,2019-05-13 14:24:03,622,448,1070,9,"https://gerrit.wikimedia.org/r/#/q/49d20b50,n,z",13504.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2018-08-27 15:36:54,2019-05-13 11:55:30,3,4,7,3,"https://gerrit.wikimedia.org/r/#/q/ee66a534,n,z",22364316.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-11 15:07:40,2019-05-13 10:51:01,1,15,16,5,"https://gerrit.wikimedia.org/r/#/q/c9e365df,n,z",157401.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-13 09:32:36,2019-05-13 09:59:49,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/ba2788f6,n,z",1633.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-13 08:23:05,2019-05-13 17:45:45,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/0357a6d0,n,z",33760.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2017-05-22 09:45:13,2019-05-13 09:01:39,1022,996,2018,6,"https://gerrit.wikimedia.org/r/#/q/bb880f74,n,z",62291786.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-09 14:26:32,2019-05-11 22:28:49,26,1,27,5,"https://gerrit.wikimedia.org/r/#/q/c5403ad0,n,z",201737.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-11 15:03:10,2019-05-11 19:19:16,1,9,10,2,"https://gerrit.wikimedia.org/r/#/q/05e08a27,n,z",15366.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-11 14:58:43,2019-05-11 19:19:09,2,29,31,2,"https://gerrit.wikimedia.org/r/#/q/170c973e,n,z",15626.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-09 10:21:24,2019-05-11 09:42:27,86,15,101,18,"https://gerrit.wikimedia.org/r/#/q/9f973228,n,z",170463.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-11 01:17:55,2019-05-11 19:06:41,74,1,75,5,"https://gerrit.wikimedia.org/r/#/q/9f2ffdfb,n,z",64126.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
2019-05-11 00:23:01,2019-05-11 01:19:36,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/ddd4e4dc,n,z",3395.0,1.34.0-wmf.5,322,1,jenkins-bot,168,0,0,0,172318
