created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2018-04-17 13:13:36,2018-04-17 15:55:08,9,7,16,2,"https://gerrit.wikimedia.org/r/#/q/33807c08,n,z",9692.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-17 13:13:36,2018-04-17 15:50:38,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/87617c16,n,z",9422.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-17 04:21:08,2018-04-17 15:44:56,2,0,2,1,"https://gerrit.wikimedia.org/r/#/q/b11f0606,n,z",41028.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-02-16 15:04:40,2018-04-17 01:14:11,12,5,17,3,"https://gerrit.wikimedia.org/r/#/q/b2ad5492,n,z",5134171.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-17 00:44:32,2018-04-17 14:55:19,2,35,37,1,"https://gerrit.wikimedia.org/r/#/q/d8b0d0bb,n,z",51047.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-17 00:41:35,2018-04-17 00:50:06,2,0,2,1,"https://gerrit.wikimedia.org/r/#/q/42d53750,n,z",511.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-16 22:06:45,2018-04-16 22:58:47,17,28,45,1,"https://gerrit.wikimedia.org/r/#/q/cb2ab955,n,z",3122.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-05 03:22:06,2018-04-16 21:35:17,71,29,100,7,"https://gerrit.wikimedia.org/r/#/q/e9d42c0e,n,z",1015991.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-01-06 12:47:57,2018-04-16 19:44:31,12,0,12,7,"https://gerrit.wikimedia.org/r/#/q/efa586fd,n,z",8664994.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-01-23 21:36:12,2018-04-16 16:57:14,116,9,125,9,"https://gerrit.wikimedia.org/r/#/q/5cf4575e,n,z",7154462.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-16 07:07:33,2018-04-16 09:20:36,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/4cd4976f,n,z",7983.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-14 23:14:19,2018-04-15 18:48:10,3,1,4,2,"https://gerrit.wikimedia.org/r/#/q/9d78fc2c,n,z",70431.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-14 23:00:42,2018-04-15 18:41:32,4,0,4,1,"https://gerrit.wikimedia.org/r/#/q/a96e56d5,n,z",70850.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-14 22:40:46,2018-04-15 18:38:47,2,0,2,1,"https://gerrit.wikimedia.org/r/#/q/2f70e45c,n,z",71881.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-14 10:54:32,2018-04-15 08:44:34,10,0,10,1,"https://gerrit.wikimedia.org/r/#/q/761251a9,n,z",78602.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-03-29 02:42:39,2018-04-16 01:01:21,1,1,2,8,"https://gerrit.wikimedia.org/r/#/q/5739d145,n,z",1549122.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-13 22:37:31,2018-04-14 02:27:05,3,0,3,4,"https://gerrit.wikimedia.org/r/#/q/8de95844,n,z",13774.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-08 23:26:08,2018-04-17 15:18:39,373,34,407,5,"https://gerrit.wikimedia.org/r/#/q/c8833d8e,n,z",748351.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-13 21:37:51,2018-04-14 02:39:33,12,12,24,3,"https://gerrit.wikimedia.org/r/#/q/6a2cd1c5,n,z",18102.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
2018-04-13 21:16:45,2018-04-13 22:42:03,3,2,5,1,"https://gerrit.wikimedia.org/r/#/q/3b58b6d1,n,z",5118.0,1.31.0-wmf.30,504,2,Tyler Cipriani,325732,0,0,4,782050
