created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2020-02-11 18:30:12,2020-02-11 18:53:50,981,3,984,1,"https://gerrit.wikimedia.org/r/#/q/e4be4372,n,z",1418.0,1.35.0-wmf.19,348,1
2019-07-20 16:31:31,2020-02-11 16:49:56,1,0,1,2,"https://gerrit.wikimedia.org/r/#/q/f58616ac,n,z",17799505.0,1.35.0-wmf.19,348,1
2020-02-11 05:01:44,2020-02-11 07:13:24,1,1,2,3,"https://gerrit.wikimedia.org/r/#/q/d82d3848,n,z",7900.0,1.35.0-wmf.19,348,1
2020-02-11 03:51:05,2020-02-11 07:16:30,3,3,6,2,"https://gerrit.wikimedia.org/r/#/q/150d053d,n,z",12325.0,1.35.0-wmf.19,348,1
2020-02-06 20:05:05,2020-02-11 18:01:17,157,3,160,1,"https://gerrit.wikimedia.org/r/#/q/989c4f77,n,z",424572.0,1.35.0-wmf.19,348,1
2020-02-11 01:12:16,2020-02-11 01:41:31,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/d79286f1,n,z",1755.0,1.35.0-wmf.19,348,1
2020-02-11 01:03:17,2020-02-11 15:56:07,7,4,11,1,"https://gerrit.wikimedia.org/r/#/q/3e4e3f36,n,z",53570.0,1.35.0-wmf.19,348,1
2020-02-10 20:28:52,2020-02-10 21:25:44,1,0,1,5,"https://gerrit.wikimedia.org/r/#/q/f5f71d31,n,z",3412.0,1.35.0-wmf.19,348,1
2020-02-10 19:02:16,2020-02-10 20:05:39,0,9,9,2,"https://gerrit.wikimedia.org/r/#/q/ad1d7efd,n,z",3803.0,1.35.0-wmf.19,348,1
2020-01-29 13:45:03,2020-02-11 17:57:14,409,93,502,3,"https://gerrit.wikimedia.org/r/#/q/272e941b,n,z",1138331.0,1.35.0-wmf.19,348,1
2020-02-10 16:21:38,2020-02-10 17:06:06,8,4,12,2,"https://gerrit.wikimedia.org/r/#/q/e79b72be,n,z",2668.0,1.35.0-wmf.19,348,1
2019-12-10 06:51:59,2020-02-10 17:10:25,58,21,79,12,"https://gerrit.wikimedia.org/r/#/q/5b1978f7,n,z",5393906.0,1.35.0-wmf.19,348,1
