created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2019-10-09 10:40:30,2019-10-22 10:37:47,4,9,13,10,"https://gerrit.wikimedia.org/r/#/q/ae424ce5,n,z",1123037.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-12 17:38:31,2019-10-22 09:51:21,17,16,33,2,"https://gerrit.wikimedia.org/r/#/q/754d163e,n,z",835970.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-12 15:13:52,2019-10-22 09:50:58,40,13,53,2,"https://gerrit.wikimedia.org/r/#/q/b5f0d61e,n,z",844626.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-10 06:09:15,2019-10-22 03:21:07,58,40,98,5,"https://gerrit.wikimedia.org/r/#/q/64e2d73f,n,z",1026712.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-12 14:13:59,2019-10-21 23:00:39,21,5,26,9,"https://gerrit.wikimedia.org/r/#/q/b1a5367e,n,z",809200.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-21 21:51:09,2019-10-22 00:00:49,2,4,6,2,"https://gerrit.wikimedia.org/r/#/q/31bc99da,n,z",7780.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-18 18:31:03,2019-10-21 22:08:09,44,15,59,6,"https://gerrit.wikimedia.org/r/#/q/e35f5331,n,z",272226.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-21 16:19:17,2019-10-21 17:11:27,2,9,11,2,"https://gerrit.wikimedia.org/r/#/q/3be681e6,n,z",3130.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-21 16:07:26,2019-10-21 17:11:18,102,23,125,2,"https://gerrit.wikimedia.org/r/#/q/7b9bb6f7,n,z",3832.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-21 12:00:43,2019-10-21 16:57:42,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/e915f953,n,z",17819.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-01-02 18:05:01,2019-10-21 11:00:16,1,0,1,7,"https://gerrit.wikimedia.org/r/#/q/aaf0006a,n,z",25203315.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 20:44:58,2019-10-20 21:49:13,22,0,22,2,"https://gerrit.wikimedia.org/r/#/q/877bf11f,n,z",3855.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-12 12:49:32,2019-10-20 18:05:18,43,25,68,9,"https://gerrit.wikimedia.org/r/#/q/114ee6e4,n,z",710146.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 17:15:06,2019-10-20 20:42:17,338,272,610,2,"https://gerrit.wikimedia.org/r/#/q/69c8fa3b,n,z",12431.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 13:03:41,2019-10-20 17:47:37,1,0,1,2,"https://gerrit.wikimedia.org/r/#/q/fbf5f817,n,z",17036.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 10:36:32,2019-10-20 11:09:12,3,2,5,2,"https://gerrit.wikimedia.org/r/#/q/6b239d46,n,z",1960.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 00:04:00,2019-10-20 10:41:17,167,81,248,8,"https://gerrit.wikimedia.org/r/#/q/a6533885,n,z",38237.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 08:45:44,2019-10-20 09:22:40,3,0,3,4,"https://gerrit.wikimedia.org/r/#/q/ad93e7ca,n,z",2216.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-20 04:57:36,2019-10-20 09:26:10,1,45,46,2,"https://gerrit.wikimedia.org/r/#/q/332e7a54,n,z",16114.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-13 01:17:55,2019-10-19 20:43:40,13,17,30,12,"https://gerrit.wikimedia.org/r/#/q/0454b34c,n,z",588345.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-19 20:05:51,2019-10-20 10:08:24,4,2,6,3,"https://gerrit.wikimedia.org/r/#/q/ecf4cb66,n,z",50553.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-19 18:53:02,2019-10-19 19:55:18,81,167,248,5,"https://gerrit.wikimedia.org/r/#/q/5f06efb3,n,z",3736.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-10-13 10:44:11,2019-10-19 00:01:14,2,37,39,13,"https://gerrit.wikimedia.org/r/#/q/7af7ee70,n,z",479823.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
2019-09-22 21:32:45,2019-10-18 22:11:34,167,81,248,27,"https://gerrit.wikimedia.org/r/#/q/93353637,n,z",2248729.0,1.35.0-wmf.3,379,0,Lars Wirzenius,0,0,0,0,797948
