created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2018-01-02 15:40:49,2018-01-02 15:56:28,35,0,35,5,"https://gerrit.wikimedia.org/r/#/q/7fa2c943,n,z",939.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2018-01-02 13:37:44,2018-01-02 14:16:34,3,2,5,2,"https://gerrit.wikimedia.org/r/#/q/8451a9f8,n,z",2330.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2017-12-29 23:44:52,2018-01-02 12:19:01,37,13,50,9,"https://gerrit.wikimedia.org/r/#/q/823a96e2,n,z",304449.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2017-10-10 21:01:20,2018-01-02 10:29:36,41,406,447,25,"https://gerrit.wikimedia.org/r/#/q/eb6bb6b7,n,z",7219696.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2018-01-02 08:19:27,2018-01-02 11:55:26,6,0,6,3,"https://gerrit.wikimedia.org/r/#/q/91a1a3ba,n,z",12959.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2018-01-02 02:59:57,2018-01-02 05:28:44,24,0,24,8,"https://gerrit.wikimedia.org/r/#/q/a6dad540,n,z",8927.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2018-01-02 00:55:00,2018-01-02 04:35:51,1,1,2,3,"https://gerrit.wikimedia.org/r/#/q/113d4e48,n,z",13251.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2018-01-01 13:10:28,2018-01-02 10:12:26,266,369,635,2,"https://gerrit.wikimedia.org/r/#/q/255d76f2,n,z",75718.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2017-12-29 23:23:00,2018-01-01 08:34:57,176,0,176,6,"https://gerrit.wikimedia.org/r/#/q/75160bdd,n,z",205917.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2017-12-31 20:23:04,2018-01-01 01:18:52,95,0,95,10,"https://gerrit.wikimedia.org/r/#/q/1cdcef8a,n,z",17748.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2017-12-27 15:12:20,2018-01-01 00:05:24,22,0,22,8,"https://gerrit.wikimedia.org/r/#/q/011b4586,n,z",377584.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
2017-12-31 12:35:16,2017-12-31 13:07:58,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/cbff06ef,n,z",1962.0,1.31.0-wmf.15,756,0,Chad Horohoe,0,0,0,0,188190
